Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,x,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
29614410,1/1/15 0:00,1/6/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10470,660 NEREID AVENUE,NEREID AVENUE,MATILDA AVENUE,RICHARDSON AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",1/6/15 0:00,12 BRONX,2050410026,BRONX,"1,024,137","266,839",PHONE,Unspecified,BRONX,,,,,,,,40.89899489,-73.85571872,"(40.898994888191034, -73.85571871543965)"
29608104,1/1/15 0:00,1/8/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11212,1803 PITKIN AVENUE,PITKIN AVENUE,MOTHER GASTON BOULEVARD,CHRISTOPHER AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,1/8/15 0:00,16 BROOKLYN,3037090032,BROOKLYN,"1,010,208","183,511",PHONE,Unspecified,BROOKLYN,,,,,,,,40.67033399,-73.90642534,"(40.670333991079154, -73.9064253399482)"
29608861,1/1/15 0:00,1/4/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11221,558 LEXINGTON AVENUE,LEXINGTON AVENUE,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,1/4/15 0:00,03 BROOKLYN,3016240025,BROOKLYN,"1,001,478","190,365",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68916796,-73.93787813,"(40.6891679550618, -73.9378781329754)"
29608914,1/1/15 0:00,1/5/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468,2683 MORRIS AVENUE,MORRIS AVENUE,EAST KINGSBRIDGE ROAD,EAST 196 STREET,,,ADDRESS,BRONX,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",1/5/15 0:00,07 BRONX,2033170053,BRONX,"1,013,047","255,384",PHONE,Unspecified,BRONX,,,,,,,,40.86759768,-73.89588323,"(40.86759767804488, -73.89588323198846)"
29608966,1/1/15 0:00,1/3/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11209,9511 SHORE ROAD,SHORE ROAD,95 STREET,96 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",1/3/15 0:00,10 BROOKLYN,3061207502,BROOKLYN,"973,626","163,839",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61637027,-74.03826694,"(40.61637026983262, -74.03826694457253)"
29609647,1/1/15 0:00,1/2/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10075,414 EAST 78 STREET,EAST 78 STREET,1 AVENUE,YORK AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",1/2/15 0:00,08 MANHATTAN,1014720041,MANHATTAN,"997,371","220,327",PHONE,Unspecified,MANHATTAN,,,,,,,,40.77141334,-73.952629,"(40.77141333514884, -73.95262899758745)"
29609749,1/1/15 0:00,1/3/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11209,9511 SHORE ROAD,SHORE ROAD,95 STREET,96 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,1/3/15 0:00,10 BROOKLYN,3061207502,BROOKLYN,"973,626","163,839",MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61637027,-74.03826694,"(40.61637026983262, -74.03826694457253)"
29610140,1/1/15 0:00,2/1/15 0:00,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10453,1777 GRAND CONCOURSE,GRAND CONCOURSE,MORRIS AVENUE,EAST 175 STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2/1/15 0:00,05 BRONX,2028260062,BRONX,"1,009,316","247,668",PHONE,Unspecified,BRONX,,,,,,,,40.84643096,-73.90940166,"(40.84643096164128, -73.90940166279462)"
29610141,1/1/15 0:00,2/1/15 0:00,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10453,1777 GRAND CONCOURSE,GRAND CONCOURSE,MORRIS AVENUE,EAST 175 STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2/1/15 0:00,05 BRONX,2028260062,BRONX,"1,009,316","247,668",PHONE,Unspecified,BRONX,,,,,,,,40.84643096,-73.90940166,"(40.84643096164128, -73.90940166279462)"
29610500,1/1/15 0:00,1/7/15 0:00,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10472,1121 MORRISON AVENUE,MORRISON AVENUE,WATSON AVENUE,HARROD PLACE,,,ADDRESS,BRONX,,N/A,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,1/7/15 0:00,09 BRONX,2037440034,BRONX,"1,019,105","240,689",PHONE,Unspecified,BRONX,,,,,,,,40.82724243,-73.87405669,"(40.82724243354069, -73.87405669347525)"
